KODE_SIMPUL;NAMA_SIMPUL;KATEGORI_SIMPUL;SUB_KATEGORI_SIMPUL;LATITUDE;LONGITUDE
BUS-TERMINALBCIKARANG;Cikarang;Terminal;B;-6.26178250300037;107.137559283103
BUS-B1059;Cikotok;Terminal;B;-6.86138965076014;106.305701897592
BUS-B924;Ciledug;Terminal;B;-6.23707731455736;106.703105601627
BUS-B880;Cileungsi;Terminal;B;-6.4048735486531;106.968715657228
BUS-B154;Cililitan;Terminal;B;-6.26194444454;106.865277778
BUS-B163;Cimone;Terminal;B;-6.18722222238;106.614166667
BUS-B999;COMAL;Terminal;B;-6.89893755927368;109.539069089188
BUS-B965;Dangerakko;Terminal;B;-3.00298326215076;120.195704366043
BUS-DRA;Dara;Terminal;A;-8.45861111147;118.723888889
BUS-B81;Denpasar;Terminal;B;-8.55890142584;115.167934571
BUS-DSG;Dhaksinarga;Terminal;A;-7.97083333355;110.604722223
BUS-B374;Dompu;Terminal;B;-8.54305555515;118.458888889
BUS-TERMINALBDRSPRAYITNO;Drs. Prayitno;Terminal;B;-7.57898875518379;110.283425509312
BUS-B1081;Dumai;Terminal;B;1.66916666629;101.443611111
BUS-DII;Dungingi;Terminal;A;0.564475;123.032515
BUS-ETR;Entrop;Terminal;A;-2.56742931334;140.695317655
BUS-TERMINALBGAGAKRIMANG;Gagak Rimang;Terminal;B;-6.97195;111.444299
BUS-GBR;Gambut Barakat;Terminal;A;-3.430577;114.680609
BUS-GYT;Gayatri;Terminal;A;-8.07805555558;111.923055555
BUS-GRA;Giri Adipura;Terminal;A;-7.876985;111.102962
